x,y,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988
2207.072401,1114.602385,6.300785795,6.620073207,6.692083743,6.599870499,7.567345676,7.497761701,5.796057751,7.113142109,6.126869184,6.483107351,6.222576268,6.765038977,7.118826249,7.029087564,7.184629153,6.860663671,6.948897222,6.289715571,6.257667588,7.209340257,5.690359454,6.84694314,5.846438775,6.08221891,6.517671273,7.01301579,6.242223265,6.822197391,6.610696045,6.345636361,6.624065228,6.267200549,6.752270376,7.17472431,7.344719054,6.381816017,7.123672785,7.009408933,5.793013608,6.685860947,6.383506635,6.744059186,6.208590026,6.502790046,291.6966376
2181.828254,683.0892546,6.313548046,6.148468296,6.894670039,6.558197803,6.572282543,6.137727054,6.673297968,7.113142109,6.753437919,6.91671502,6.363028104,6.359573869,7.33823815,6.588926478,6.811244379,6.434546519,7.180831199,6.656726524,6.822197391,5.746203191,5.225746674,6.637258031,7.074963198,6.759255271,7.068172,6.186208624,6.17586727,7.205635176,6.836259277,6.498282149,6.768493212,6.741700695,6.974478911,6.792344427,5.786897381,6.09356977,6.97634807,6.670766321,5.983936281,6.910750788,6.859614904,7.055312843,7.163172391,6.580639137,291.4086754
1496.465686,1041.810818,6.212606096,6.542471961,6.597145702,5.983936281,6.546785411,7.167037877,6.838405201,6.650279049,6.442540166,7.001245622,6.171700597,6.553933404,6.961296046,7.046647278,5.468060141,6.232448017,6.796823718,6.295266001,6.698268054,7.244941546,6.251903883,6.575075841,6.498282149,7.167037877,6.818924065,6.527957918,6.517671273,6.450470422,6.978213743,6.371611847,6.695798917,6.380122537,7.013915475,7.142036575,7.183870715,6.098074282,6.91274282,6.079933195,6.381816017,7.473637108,6.196444128,6.811244379,6.672032945,6.651571874,291.3022282
2941.258224,799.1308152,6.948897222,6.212606096,6.818924065,6.289715571,6.606650186,6.593044534,6.289715571,6.498282149,6.723832441,6.295266001,6.222576268,6.202535517,5.572154032,6.171700597,7.432483808,6.568077911,7.033506484,6.572282543,6.72982407,7.114769448,6.586171655,6.695798917,6.633318433,6.891625897,5.910796644,6.833031733,5.723585102,7.026426809,7.381501895,6.327936784,5.529429088,6.047372179,7.132497552,6.860663671,6.313548046,6.558197803,7.084226422,6.608000625,6.137727054,6.981934677,7.878155337,7.018401799,6.634633358,7.104144093,290.7959701
1032.763845,822.998793,6.285998095,7.125283092,7.412764017,6.09356977,6.802394763,7.091742115,7.252053952,6.738152495,6.673297968,6.597145702,5.723585102,6.463029457,6.568077911,6.542471961,6.115892125,6.431331082,5.863631176,5.897153868,6.985641818,7.255591274,6.415096959,5.937536205,6.805722553,7.113142109,6.354370041,6.17586727,6.159095388,6.603943825,6.791221463,6.932447892,6.816735881,7.173191742,6.930494766,6.855408799,6.263398263,6.376726948,7.440146681,6.598509029,6.522092798,7.096721378,7.152268856,6.650279049,5.886104031,5.774551546,290.7438812
2583.359834,1123.791933,6.939253946,6.520621128,7.010311867,6.02827852,6.434546519,7.278628942,6.49375384,6.91968385,6.226536669,6.805722553,6.070737728,6.747586527,7.333023014,7.618742378,7.260522598,6.753437919,NA,6.975413927,6.865891075,6.944087208,6.289715571,5.780743516,6.561030666,6.345636361,6.410174882,6.987490247,5.65248918,6.782192056,7.235619141,6.304448802,6.768493212,6.401917197,7.148345744,6.732210706,7.013915475,6.793466133,7.122059882,6.918695219,6.695798917,6.89060912,6.968850378,7.043159916,7.25488481,7.313886832,290.6426142
1501.746804,1126.657216,6.380122537,6.388561406,6.597145702,5.840641657,6.796823718,7.268223021,6.782192056,6.701960366,6.650279049,7.554334824,5.81711116,6.894670039,7.46221494,6.854354502,5.855071922,6.070737728,6.66057515,6.72982407,5.826000107,7.356279877,6.285998095,6.873163834,6.643789733,6.921658184,7.096721378,6.318968114,6.186208624,6.415096959,6.396929655,6.115892125,6.483107351,6.363028104,6.940222469,6.841615476,6.71417053,5.978885765,6.591673732,6.56667243,6.538139824,7.377133713,5.902633333,6.921658184,6.905753276,6.683360946,290.5496057
2212.557149,930.5074391,6.202535517,6.242223265,7.334981879,6.723832441,7.305860033,7.153833802,6.708084084,6.942156706,6.059123196,7.33823815,6.154858094,6.762729507,7.221105098,6.985641818,6.921658184,6.238324625,6.717804695,6.251903883,6.318968114,6.996681488,6.8134446,6.708084084,7.085901464,6.159095388,6.717804695,6.836259277,6.568077911,7.368970402,6.867974409,6.539585956,6.572282543,6.970730078,NA,7.409741954,6.577861358,6.216606101,7.308542798,6.843749949,6.327936784,6.81014245,6.899723107,6.862757913,6.863803391,6.472346295,290.3819675
1814.368562,999.6402497,6.447305863,6.11146734,5.81711116,6.202535517,7.502186487,6.572282543,7.228388452,6.881411304,5.966146739,7.02464903,6.525029658,6.238324625,7.190676034,6.380122537,5.945420609,7.721791777,6.09356977,NA,6.774223886,7.796469243,5.996452089,6.643789733,6.717804695,7.062191632,6.865891075,7.098375639,6.483107351,6.805722553,6.88857246,6.894670039,6.811244379,6.527957918,7.248504072,7.215239979,7.463936604,6.324358962,6.735780014,7.147559271,6.086774727,7.03966035,6.378426184,6.744059186,7.544332108,6.93439721,290.0779208
3189.55071,1261.401353,6.008813185,6.663132696,6.673297968,6.401917197,6.470799504,6.88857246,6.327936784,7.218909708,6.520621128,5.680172609,6.447305863,6.704414355,6.49375384,6.765038977,6.137727054,6.561030666,7.386470849,6.956545443,6.624065228,7.073269717,6.285998095,NA,6.862757913,7.163172391,6.857514063,6.953684211,6.345636361,7.24636808,7.407924323,6.059123196,6.115892125,6.008813185,6.527957918,7.127693699,6.357842267,7.10824414,7.257707677,7.096721378,7.360739903,7.371489295,7.446585099,7.368970402,6.739336627,6.979145275,290.0531129
